CMDLINE c:\Users\phoeb\OneDrive\Documents\KTH\HPC\Computational-Astrophysics\venv\Scripts\python.exe sph.py
MEM 9.980469 1740310646.9161
MEM 9.980469 1740310647.0164
MEM 9.980469 1740310647.1166
MEM 9.980469 1740310647.2168
MEM 9.980469 1740310647.3173
MEM 9.980469 1740310647.4178
MEM 9.980469 1740310647.5186
MEM 9.980469 1740310647.6192
MEM 9.980469 1740310647.7194
MEM 9.980469 1740310647.8196
MEM 9.980469 1740310647.9198
MEM 9.980469 1740310648.0203
MEM 9.980469 1740310648.1209
MEM 9.980469 1740310648.2211
MEM 9.980469 1740310648.3217
MEM 9.980469 1740310648.4220
MEM 9.980469 1740310648.5226
MEM 9.980469 1740310648.6231
MEM 9.980469 1740310648.7237
MEM 9.980469 1740310648.8250
MEM 9.980469 1740310648.9257
MEM 9.980469 1740310649.0259
MEM 9.980469 1740310649.1276
MEM 9.980469 1740310649.2285
