42227116 function calls (41023071 primitive calls) in 23.800 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      600    0.002    0.000    0.055    0.000 _base.py:335(_make_line)
     8412    0.017    0.000    0.055    0.000 core.py:3050(__array_finalize__)
     4504    0.007    0.000    0.055    0.000 _base.py:1065(get_yaxis_text2_transform)
   990561    0.055    0.000    0.055    0.000 {built-in method builtins.id}
      300    0.003    0.000    0.054    0.000 collections.py:78(__init__)
      994    0.054    0.000    0.054    0.000 {built-in method marshal.loads}
      300    0.003    0.000    0.053    0.000 cbook.py:988(_combine_masks)
14730/14129    0.005    0.000    0.053    0.000 {method 'view' of 'numpy.ndarray' objects}
     1111    0.001    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
    61123    0.026    0.000    0.052    0.000 cbook.py:1337(_to_unmasked_float_array)
    87/84    0.000    0.000    0.052    0.001 <frozen importlib._bootstrap_external>:1231(create_module)
    17783    0.027    0.000    0.052    0.000 __init__.py:133(check_shape)
     1111    0.015    0.000    0.052    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
    87/84    0.049    0.001    0.052    0.001 {built-in method _imp.create_dynamic}
   115290    0.039    0.000    0.052    0.000 copy.py:243(_keep_alive)
      302    0.000    0.000    0.052    0.000 colorizer.py:326(to_rgba)
        1    0.000    0.000    0.052    0.052 figure.py:3334(savefig)
        1    0.000    0.000    0.052    0.052 backend_bases.py:2049(print_figure)
      302    0.001    0.000    0.052    0.000 colorizer.py:120(to_rgba)
        1    0.000    0.000    0.051    0.051 backend_bases.py:2040(<lambda>)
        1    0.000    0.000    0.051    0.051 backend_agg.py:434(print_png)
        1    0.000    0.000    0.051    0.051 backend_agg.py:424(_print_pil)
    19818    0.020    0.000    0.051    0.000 transforms.py:2666(__init__)
   100619    0.044    0.000    0.051    0.000 {built-in method numpy.array}
   144732    0.042    0.000    0.051    0.000 weakref.py:451(get)
    45072    0.027    0.000    0.050    0.000 text.py:1010(set_horizontalalignment)
   525526    0.050    0.000    0.050    0.000 artist.py:292(axes)
    29424    0.022    0.000    0.050    0.000 lines.py:1129(set_linewidth)
      386    0.000    0.000    0.050    0.000 __init__.py:225(compile)
    34136    0.009    0.000    0.050    0.000 _methods.py:46(_amin)
     1500    0.004    0.000    0.050    0.000 core.py:1882(masked_where)
9656/9356    0.016    0.000    0.049    0.000 transforms.py:1777(__eq__)
    76904    0.017    0.000    0.049    0.000 __init__.py:1351(_val_or_rc)
     1204    0.002    0.000    0.049    0.000 ticker.py:2914(__init__)
    49060    0.032    0.000    0.048    0.000 cbook.py:1324(is_math_text)
    13896    0.007    0.000    0.048    0.000 artist.py:935(_set_gc_clip)
    19216    0.010    0.000    0.048    0.000 text.py:1054(set_fontfamily)
    14496    0.018    0.000    0.048    0.000 ticker.py:608(__call__)
    98565    0.024    0.000    0.048    0.000 copyreg.py:104(__newobj__)
      604    0.002    0.000    0.048    0.000 axis.py:2475(_update_offset_text_position)
    82384    0.019    0.000    0.048    0.000 artist.py:268(convert_xunits)
        1    0.000    0.000    0.047    0.047 _support_alternative_backends.py:1(<module>)
        1    0.000    0.000    0.047    0.047 _array_api.py:1(<module>)
     4832    0.003    0.000    0.047    0.000 transforms.py:2779(get_transformed_points_and_affine)
   220755    0.040    0.000    0.046    0.000 artist.py:723(get_figure)
     1204    0.002    0.000    0.046    0.000 ticker.py:2054(__init__)
    27062    0.019    0.000    0.046    0.000 font_manager.py:798(set_style)
179526/178741    0.041    0.000    0.046    0.000 {built-in method __new__ of type object at 0x1058b4cd8}
    29424    0.008    0.000    0.046    0.000 lines.py:1217(set_markeredgecolor)
       10    0.000    0.000    0.045    0.005 __init__.py:326(__getattr__)
    29424    0.023    0.000    0.045    0.000 lines.py:1409(set_dash_capstyle)
     5436    0.008    0.000    0.044    0.000 transforms.py:2766(_revalidate)
    19336    0.020    0.000    0.044    0.000 text.py:1292(_preprocess_math)
     3020    0.003    0.000    0.044    0.000 transforms.py:646(<listcomp>)
     1204    0.005    0.000    0.044    0.000 ticker.py:2114(set_params)
     1208    0.002    0.000    0.043    0.000 patches.py:654(get_window_extent)
     9908    0.010    0.000    0.042    0.000 artist.py:1013(set_alpha)
     3929    0.004    0.000    0.042    0.000 fromnumeric.py:2241(clip)
    17177    0.017    0.000    0.042    0.000 path.py:202(_update_values)
