CMDLINE /usr/bin/python3.11 sph.py
MEM 122.753906 1739284211.7687
MEM 122.753906 1739284211.8691
MEM 122.753906 1739284211.9695
MEM 122.753906 1739284212.0698
MEM 126.878906 1739284212.1702
MEM 122.753906 1739284212.2706
MEM 122.753906 1739284212.3711
MEM 122.753906 1739284212.4715
MEM 122.753906 1739284212.5719
MEM 122.753906 1739284212.6723
MEM 122.753906 1739284212.7726
MEM 126.253906 1739284212.8730
MEM 127.378906 1739284212.9734
MEM 122.753906 1739284213.0738
MEM 122.753906 1739284213.1741
MEM 122.753906 1739284213.2744
MEM 122.753906 1739284213.3751
MEM 122.753906 1739284213.4758
MEM 122.753906 1739284213.5762
MEM 126.503906 1739284213.6765
MEM 122.753906 1739284213.7769
MEM 123.128906 1739284213.8773
MEM 122.753906 1739284213.9776
MEM 122.753906 1739284214.0780
MEM 122.753906 1739284214.1784
MEM 122.753906 1739284214.2788
MEM 122.582031 1739284214.3791
MEM 124.832031 1739284214.4795
MEM 124.832031 1739284214.5799
MEM 122.582031 1739284214.6804
MEM 122.582031 1739284214.7810
MEM 122.582031 1739284214.8814
MEM 122.582031 1739284214.9819
MEM 122.582031 1739284215.0822
MEM 122.582031 1739284215.1826
MEM 126.082031 1739284215.2830
MEM 125.023438 1739284215.3834
MEM 122.582031 1739284215.4841
MEM 122.582031 1739284215.5844
MEM 122.582031 1739284215.6848
MEM 122.582031 1739284215.7852
MEM 122.582031 1739284215.8855
MEM 122.582031 1739284215.9859
MEM 122.582031 1739284216.0863
MEM 122.582031 1739284216.1866
MEM 129.707031 1739284216.2870
MEM 122.582031 1739284216.3874
MEM 122.582031 1739284216.4877
MEM 122.582031 1739284216.5881
MEM 122.707031 1739284216.6886
MEM 127.082031 1739284216.7890
MEM 122.582031 1739284216.8897
MEM 122.582031 1739284216.9901
MEM 122.582031 1739284217.0905
MEM 122.582031 1739284217.1911
MEM 122.500000 1739284217.2914
MEM 122.500000 1739284217.3918
MEM 122.500000 1739284217.4922
MEM 122.500000 1739284217.5926
MEM 129.625000 1739284217.6931
MEM 125.914062 1739284217.7934
MEM 122.378906 1739284217.8937
MEM 122.378906 1739284217.9942
MEM 122.378906 1739284218.0945
MEM 122.378906 1739284218.1949
MEM 122.378906 1739284218.2953
MEM 122.378906 1739284218.3957
MEM 122.378906 1739284218.4961
MEM 122.378906 1739284218.5964
MEM 122.628906 1739284218.6969
MEM 122.367188 1739284218.7974
MEM 122.402344 1739284218.8977
MEM 122.402344 1739284218.9991
MEM 126.230469 1739284219.0996
MEM 122.480469 1739284219.2000
MEM 122.484375 1739284219.3004
MEM 122.496094 1739284219.4008
MEM 122.496094 1739284219.5011
MEM 122.609375 1739284219.6016
MEM 126.550781 1739284219.7021
MEM 125.925781 1739284219.8026
MEM 122.425781 1739284219.9030
MEM 122.515625 1739284220.0033
MEM 122.515625 1739284220.1037
MEM 122.515625 1739284220.2040
